PLANO,MES,ANO,1.00.00.00.00.00.00.00,2.01.00.00.00.00.00.00,2.02.00.00.00.00.00.00,2.03.00.00.00.00.00.00,2.03.01.00.00.00.00.00,2.03.01.01.00.00.00.00,2.03.01.01.01.00.00.00,2.03.01.01.01.01.00.00,2.03.01.01.01.02.00.00,2.03.01.01.02.00.00.00,2.03.01.01.02.01.00.00,2.03.01.01.02.02.00.00,2.03.01.01.02.03.00.00,2.03.01.01.03.00.00.00,2.03.02.01.00.00.00.00,3.01.00.00.00.00.00.00,3.02.00.00.00.00.00.00,3.05.00.00.00.00.00.00,solvencia_seca,solvencia_gerencial,solvencia_liquida,resultado_operacional,maturiade_atuarial,solvencia_financeira,risco_legal,provisoes_cd,passivo_integralizar,provisoes_bd,resultado,prov_concedidos_cd,prov_conceder_cd,prov_concedidos_bd,prov_conceder_bd,COMPETENCIA
ConabPrev Submassa 1,1,2022,844040279.89,3620810.05,0.0,840419469.84,811732665.22,811732665.22,248318409.47,248318409.47,0.0,563414255.75,563414255.75,0.0,0.0,0.0,18573798.25,5242794.63,2846520.02,3066138.17,1.0228816691083462,1.0,1.0,1.8418260167374476,2.2689185910642986,2.918979224323179,0.0,1.0,0.0,0.0,0.0,248318409.47,563414255.75,0.0,0.0,2022-01-01
ConabPrev Submassa 1,1,2023,859679621.46,5375169.52,0.0,854304451.94,822773695.07,822773695.07,282676859.65,282676859.65,0.0,540096835.42,540096835.42,0.0,0.0,0.0,20711804.82,4993774.17,3358492.84,2551685.71,1.025173149000878,1.0,1.0,1.4869092798185033,1.9106510383931952,2.246680353202718,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,0.0,282676859.65,540096835.42,0.0,0.0,2023-01-01
ConabPrev Submassa 1,2,2022,847285230.89,4867849.12,0.0,842417381.77,813486984.32,813486984.32,250244341.29,250244341.29,0.0,563242643.03,563242643.03,0.0,0.0,0.0,18742299.95,10105425.96,9324424.57,6604232.19,1.023039458911155,1.0,1.0,1.0837586688740837,2.250770747208531,1.792031028248213,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,0.0,250244341.29,563242643.03,0.0,0.0,2022-02-01
ConabPrev Submassa 1,2,2023,859503681.34,3812227.13,0.0,855691454.21,824074491.71,824074491.71,282063805.65,282063805.65,0.0,542010686.06,542010686.06,0.0,0.0,0.0,20778879.95,9097628.71,5646102.12,2103312.22,1.0252148078347658,1.0,1.0,1.611311399730758,1.921588928473,1.9838360504184436,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,0.0,282063805.65,542010686.06,0.0,0.0,2023-02-01
ConabPrev Submassa 1,3,2022,851566382.65,9304819.04,0.0,842261563.61,812605910.32,812605910.32,281934252.38,281934252.38,0.0,530671657.94,530671657.94,0.0,0.0,0.0,19287854.69,16179927.95,27399515.62,18269301.99,1.0237358040903304,1.0,1.0,0.590518758594025,1.8822532326605843,1.2572933922545013,0.0,0.9999999999999999,0.0,1.1102230246251565e-16,0.0,281934252.38,530671657.94,0.0,0.0,2022-03-01
ConabPrev Submassa 1,3,2023,866315318.07,3761686.01,0.0,862553632.06,830641672.64,830641672.64,282809070.03,282809070.03,0.0,547832602.61,547832602.61,0.0,0.0,0.0,20978980.16,14416193.03,7945130.07,5851056.99,1.0252563540344939,1.0,1.0,1.8144691028324473,1.9371111490585742,2.550902230855485,0.0,1.0,0.0,0.0,0.0,282809070.03,547832602.61,0.0,0.0,2023-03-01
ConabPrev Submassa 1,4,2022,849012761.67,7296387.32,0.0,841716374.35,811679057.68,811679057.68,290040836.74,290040836.74,0.0,521638220.94,521638220.94,0.0,0.0,0.0,19539194.7,24994172.54,37047838.48,18427867.63,1.0240725623201963,1.0,1.0,0.6746459055497372,1.79849922791255,1.1720532681937994,0.0,1.0000000000000002,0.0,-2.220446049250313e-16,0.0,290040836.74,521638220.94,0.0,0.0,2022-04-01
ConabPrev Submassa 1,4,2023,873625565.33,3669929.84,0.0,869955635.49,837843278.92,837843278.92,283882880.25,283882880.25,0.0,553960398.67,553960398.67,0.0,0.0,0.0,21248370.69,19725050.48,11355963.14,11424029.42,1.0253607938675473,1.0,1.0,1.7369773252011453,1.9513695161263602,2.742971205170713,0.0,1.0,0.0,0.0,0.0,283882880.25,553960398.67,0.0,0.0,2023-04-01
ConabPrev Submassa 1,5,2022,857941499.83,8127188.78,0.0,849814311.05,819366404.19,819366404.19,291730866.8,291730866.8,0.0,527635537.39,527635537.39,0.0,0.0,0.0,19842436.29,31340430.09,42998980.48,26023340.18,1.0242168048244735,1.0,1.0,0.7288644926029652,1.8086380203015253,1.334072799625597,0.0,1.0,0.0,0.0,0.0,291730866.8,527635537.39,0.0,0.0,2022-05-01
ConabPrev Submassa 1,5,2023,886614979.42,3701575.83,0.0,882913403.59,850397011.48,850397011.48,286411441.96,286411441.96,0.0,563985569.52,563985569.52,0.0,0.0,0.0,21600973.08,24256842.92,13702886.48,22145495.27,1.025401045380447,1.0,1.0,1.7701995090891245,1.9691446880071426,3.3863185145499357,0.0,1.0,0.0,0.0,0.0,286411441.96,563985569.52,0.0,0.0,2023-05-01
ConabPrev Submassa 1,6,2021,831739331.4,6248917.09,11000.0,825479414.31,797641018.89,797641018.89,262048085.29,262048085.29,0.0,535592933.6,535592933.6,0.0,0.0,0.0,17862989.67,30646751.97,26673964.61,18811964.1,1.0223947731460177,1.0,1.0,1.1489387654998466,2.0438727228526665,1.8541944099100311,1.3325589723148527e-05,1.0,0.0,0.0,0.0,262048085.29,535592933.6,0.0,0.0,2021-06-01
